threshold,error_count,error_count_decoded
0.000,0,0
0.010,152,0
0.020,333,12
0.030,507,61
0.040,693,115
0.050,801,195
0.060,1008,364
0.070,1162,552
0.080,1347,761
0.090,1446,914
0.100,1623,1169
0.110,1826,1468
0.120,1903,1615
0.130,2062,1826
0.140,2287,2138
0.150,2411,2382
0.160,2656,2706
0.170,2803,2871
0.180,2982,3079
0.190,3094,3227
0.200,3205,3395
0.210,3311,3505
0.220,3681,3870
0.230,3615,3840
0.240,3937,4143
0.250,4065,4300
0.260,4258,4456
0.270,4437,4606
0.280,4607,4796
0.290,4756,4952
0.300,4850,5052
0.310,5090,5265
0.320,5274,5431
0.330,5478,5674
0.340,5560,5730
0.350,5772,5926
0.360,5880,6035
0.370,6065,6208
0.380,6212,6313
0.390,6326,6431
0.400,6604,6686
0.410,6682,6774
0.420,6863,6969
0.430,6967,7037
0.440,7228,7284
0.450,7257,7304
0.460,7632,7644
0.470,7649,7687
0.480,7967,8014
0.490,8020,8031
0.500,8232,8237
0.510,8380,8349
0.520,8571,8520
0.530,8667,8663
0.540,8995,8952
0.550,9043,8997
0.560,9226,9153
0.570,9262,9175
0.580,9587,9479
0.590,9665,9553
0.600,9850,9735
0.610,10057,9929
0.620,10078,9982
0.630,10310,10205
0.640,10383,10280
0.650,10663,10533
0.660,10805,10659
0.670,10961,10807
0.680,11185,10996
0.690,11235,11084
0.700,11479,11273
0.710,11569,11380
0.720,11819,11634
0.730,12036,11845
0.740,12131,11955
0.750,12373,12155
0.760,12448,12227
0.770,12620,12382
0.780,12759,12617
0.790,12980,12787
0.800,13137,12980
0.810,13228,13113
0.820,13448,13379
0.830,13574,13469
0.840,13787,13830
0.850,13967,14024
0.860,14194,14359
0.870,14188,14337
0.880,14399,14668
0.890,14575,14986
0.900,14754,15218
0.910,14913,15361
0.920,15112,15678
0.930,15227,15826
0.940,15423,16007
0.950,15630,16193
0.960,15721,16284
0.970,15877,16342
0.980,16076,16376
0.990,16227,16379
1.000,16384,16384
